LUI,xxxxxxxxxxxxxxxxxxxxxxxxx0110111
AUIPC,xxxxxxxxxxxxxxxxxxxxxxxxx0010111
JAL,xxxxxxxxxxxxxxxxxxxxxxxxx1101111
JALR,xxxxxxxxxxxxxxxxx000xxxxx1100111
BEQ,xxxxxxxxxxxxxxxxx000xxxxx1100011
BNE,xxxxxxxxxxxxxxxxx001xxxxx1100011
BLT,xxxxxxxxxxxxxxxxx100xxxxx1100011
BGE,xxxxxxxxxxxxxxxxx101xxxxx1100011
BLTU,xxxxxxxxxxxxxxxxx110xxxxx1100011
BGEU,xxxxxxxxxxxxxxxxx111xxxxx1100011
LB,xxxxxxxxxxxxxxxxx000xxxxx0000011
LH,xxxxxxxxxxxxxxxxx001xxxxx0000011
LW,xxxxxxxxxxxxxxxxx010xxxxx0000011
LBU,xxxxxxxxxxxxxxxxx100xxxxx0000011
LHU,xxxxxxxxxxxxxxxxx101xxxxx0000011
SB,xxxxxxxxxxxxxxxxx000xxxxx0100011
SH,xxxxxxxxxxxxxxxxx001xxxxx0100011
SW,xxxxxxxxxxxxxxxxx010xxxxx0100011
ADDI,xxxxxxxxxxxxxxxxx000xxxxx0010011
SLTI,xxxxxxxxxxxxxxxxx010xxxxx0010011
SLTIU,xxxxxxxxxxxxxxxxx011xxxxx0010011
XORI,xxxxxxxxxxxxxxxxx100xxxxx0010011
ORI,xxxxxxxxxxxxxxxxx110xxxxx0010011
ANDI,xxxxxxxxxxxxxxxxx111xxxxx0010011
SLLI,0000000xxxxxxxxxx001xxxxx0010011
SRLI,0000000xxxxxxxxxx101xxxxx0010011
SRAI,0100000xxxxxxxxxx101xxxxx0010011
ADD,0000000xxxxxxxxxx000xxxxx0110011
SUB,0100000xxxxxxxxxx000xxxxx0110011
SLL,0000000xxxxxxxxxx001xxxxx0110011
SLT,0000000xxxxxxxxxx010xxxxx0110011
SLTU,0000000xxxxxxxxxx011xxxxx0110011
XOR,0000000xxxxxxxxxx100xxxxx0110011
SRL,0000000xxxxxxxxxx101xxxxx0110011
SRA,0100000xxxxxxxxxx101xxxxx0110011
OR,0000000xxxxxxxxxx110xxxxx0110011
AND,0000000xxxxxxxxxx111xxxxx0110011
FENCE,0000xxxxxxxx00000000000000001111
FENCE.I,00000000000000000001000000001111
ECALL,00000000000000000000000001110011
EBREAK,00000000000100000000000001110011
CSRRW,xxxxxxxxxxxxxxxxx001xxxxx1110011
CSRRS,xxxxxxxxxxxxxxxxx010xxxxx1110011
CSRRC,xxxxxxxxxxxxxxxxx011xxxxx1110011
CSRRWI,xxxxxxxxxxxxxxxxx101xxxxx1110011
CSRRSI,xxxxxxxxxxxxxxxxx110xxxxx1110011
CSRRCI,xxxxxxxxxxxxxxxxx111xxxxx1110011
